source_file,id,parent_id,training_id,author,title,source_kind,chunk_index,chunk_count,original_char_len,char_len,sentence_count,form,fine_form,split,author_split,abnormal_symbols_removed,cleaned_text,drop_reason
poet.tang.0.json,589c213c-6793-4ba6-b0d8-ef674ea4a544,589c213c-6793-4ba6-b0d8-ef674ea4a544,589c213c-6793-4ba6-b0d8-ef674ea4a544#0,高宗皇帝,咸亨殿宴近臣諸親柏梁體,original,0,1,7,7,1,七言,七言其他,train,train,,屏欲除奢政返淳,too_short
poet.tang.0.json,c9ef5ff3-9cfd-422b-9b0a-9b569826776f,c9ef5ff3-9cfd-422b-9b0a-9b569826776f,c9ef5ff3-9cfd-422b-9b0a-9b569826776f#0,不詳,郊廟歌辭 武后大享昊天樂章 二,original,0,1,24,24,8,其他,其他,train,train,,瞻紫极，望玄穹。翘至恳，罄深衷。听虽远，诚必通。垂厚泽，降云宫,duplicate
poet.tang.0.json,e4a0253f-6331-4902-87e3-a4307347319d,e4a0253f-6331-4902-87e3-a4307347319d,e4a0253f-6331-4902-87e3-a4307347319d#0,不詳,郊廟歌辭 武后大享昊天樂章 五,original,0,1,32,32,8,其他,其他,train,train,,朝坛雾卷，曙岭烟沈。爰设筐币，式表诚心。筵辉丽璧，乐畅和音。仰惟灵鉴，俯察翘襟,duplicate
poet.tang.0.json,ed819c5a-6f20-4664-848c-026b360befff,ed819c5a-6f20-4664-848c-026b360befff,ed819c5a-6f20-4664-848c-026b360befff#0,不詳,郊廟歌辭 武后大享昊天樂章 八,original,0,1,28,28,4,七言,七言绝句,train,train,,奠璧郊坛昭大礼，锵金拊石表虔诚。始奏承云娱帝赏，复歌调露畅韶英,duplicate
poet.tang.0.json,97918258-9ba8-4799-b271-650864515192,97918258-9ba8-4799-b271-650864515192,97918258-9ba8-4799-b271-650864515192#0,不詳,郊廟歌辭 武后大享昊天樂章 十二,original,0,1,24,24,8,其他,其他,train,train,,式干路，辟天扉。回日驭，动云衣。登金阙，入紫微。望仙驾，仰恩徽,duplicate
poet.tang.0.json,f5880c05-dba3-4d43-984e-11173bd45c36,f5880c05-dba3-4d43-984e-11173bd45c36,f5880c05-dba3-4d43-984e-11173bd45c36#0,武則天,郊廟歌辭 武后明堂樂章 皇帝行,original,0,1,32,32,8,其他,其他,train,train,,仰膺历数，俯顺讴歌。远安迩肃，俗阜时和。化光玉镜，讼息金科。方兴典礼，永戢干戈,duplicate
poet.tang.0.json,f9975b6c-83a5-4d7d-be29-ae59be144e35,f9975b6c-83a5-4d7d-be29-ae59be144e35,f9975b6c-83a5-4d7d-be29-ae59be144e35#0,武則天,郊廟歌辭 武后明堂樂章 皇嗣出入升降,original,0,1,32,32,8,其他,其他,train,train,,至人光俗，大孝通神。谦以表性，恭惟立身。洪规载启，茂典方陈。誉隆三善，祥开万春,duplicate
poet.tang.0.json,feefaf2e-ee95-45c2-8ccb-6344d12750c4,feefaf2e-ee95-45c2-8ccb-6344d12750c4,feefaf2e-ee95-45c2-8ccb-6344d12750c4#0,武則天,郊廟歌辭 武后明堂樂章 迎送王公,original,0,1,32,32,8,其他,其他,test,train,,千官肃事，万国朝宗。载延百辟，爰集三宫。君臣德合，鱼水斯同。睿图方永，周历长隆,duplicate
poet.tang.0.json,a71c4e67-69d8-48ce-96f9-3cec8d90fbc8,a71c4e67-69d8-48ce-96f9-3cec8d90fbc8,a71c4e67-69d8-48ce-96f9-3cec8d90fbc8#0,武則天,郊廟歌辭 武后明堂樂章 宮音,original,0,1,40,40,8,五言,五言律诗,train,train,,履艮包群望，居中冠百灵。万方资广运，庶品荷财成。神功谅匪测，盛德实难名。藻奠申诚敬，恭祀表惟馨,duplicate
poet.tang.0.json,1cdb7f42-2482-475b-b8b9-2eb80480d922,1cdb7f42-2482-475b-b8b9-2eb80480d922,1cdb7f42-2482-475b-b8b9-2eb80480d922#0,武則天,郊廟歌辭 武后明堂樂章 角音,original,0,1,24,24,8,其他,其他,train,train,,出震位，开平秩。扇条风，乘甲乙。龙德盛，鸟星出。荐珪篚，陈诚实,duplicate
